published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status,sentiment_score
2021-08-03,433.1,467.1,424.7,467.1,9.98,150098.0,68137152.8,1,0.23026999999999997
2021-08-04,476.4,513.8,465.0,513.8,10.0,97618.0,48104343.5,1,0.17989
2021-08-05,524.0,551.0,487.0,488.0,-5.02,58061.0,29499062.9,-1,0.10418000000000001
2021-08-08,488.0,520.0,457.0,496.0,1.64,92091.0,45135198.6,1,0.27212
2021-08-09,490.0,516.0,489.2,497.0,0.2,59524.0,29788057.5,1,0.1421
2021-08-10,506.0,525.0,472.0,475.0,-4.43,62655.0,30638884.4,-1,0.31013999999999997
2021-08-11,470.0,510.0,470.0,502.0,5.68,60202.0,29856789.0,1,0.2044
2021-08-12,512.0,512.0,477.3,490.0,-2.39,47241.0,23060050.6,-1,0.21884
2021-08-15,480.3,489.8,449.0,475.0,-3.06,32938.0,15334744.0,-1,0.11986
2021-08-16,483.0,503.8,450.0,490.0,3.16,29759.0,14039076.4,1,0.18751
2021-08-17,499.8,535.0,490.0,521.0,6.33,74632.0,38479707.7,1,0.34213
2021-08-18,511.0,555.9,506.0,509.0,-2.3,52904.0,27899320.7,-1,0.22446000000000002
2021-08-19,499.0,500.0,473.0,475.0,-6.68,23974.0,11649231.5,-1,0.09235
2021-08-24,465.5,465.5,427.5,427.5,-10.0,43544.0,18701010.9,-1,0.09484000000000001
2021-08-25,419.0,436.0,384.8,414.0,-3.16,27996.0,11405531.0,-1,0.14777
2021-08-26,415.0,455.4,415.0,455.4,10.0,23649.0,10597360.7,1,0.18714
2021-08-29,464.5,497.0,460.0,471.0,3.43,36686.0,17356549.6,1,0.11226
2021-08-31,462.0,475.0,442.0,443.0,-5.94,23582.0,10574801.4,-1,0.16934
2021-09-01,434.2,469.2,434.2,453.0,2.26,15775.0,7138787.5,1,0.38638
2021-09-02,444.0,458.0,434.2,437.0,-3.53,11864.0,5225752.5,-1,0.07278
2021-09-05,434.0,434.0,393.3,394.0,-9.84,27581.0,10964010.6,-1,-0.03434
2021-09-06,387.0,433.4,380.0,433.4,10.0,16650.0,6923828.2,1,0.31260999999999994
2021-09-07,442.0,460.0,433.4,436.5,0.72,11229.0,5023315.9,1,0.16870000000000002
2021-09-08,428.0,445.0,419.0,427.0,-2.18,15907.0,6835614.2,-1,0.02825999999999999
2021-09-09,435.0,453.0,420.0,438.0,2.58,14655.0,6440250.0,1,0.06552
2021-09-12,446.0,465.0,445.0,460.0,5.02,22542.0,10294155.8,1,0.2439
2021-09-13,465.0,490.0,449.0,459.9,-0.02,18382.0,8618191.7,-1,0.16521999999999998
2021-09-14,469.0,469.0,448.0,451.1,-1.91,13597.0,6154331.9,-1,0.05605
2021-09-15,460.1,460.1,433.0,440.0,-2.46,9587.0,4253547.5,-1,0.27149999999999996
2021-09-16,448.8,448.8,404.0,419.0,-4.77,14169.0,5907018.4,-1,0.2061
2021-09-20,411.0,411.0,377.1,377.1,-10.0,17454.0,6747554.0,-1,0.32052
2021-09-21,375.0,392.0,341.1,386.5,2.49,18707.0,6918976.5,1,0.18228
2021-09-22,394.0,424.0,391.0,420.8,8.87,12487.0,5161619.6,1,0.20471
2021-09-23,429.0,445.0,404.0,427.0,1.47,16586.0,6897494.0,1,0.06422
2021-09-26,418.5,418.5,385.0,393.0,-7.96,16108.0,6416020.7,-1,0.10404
2021-09-27,395.0,401.0,373.0,373.0,-5.09,11519.0,4479258.5,-1,0.09203000000000001
2021-09-28,380.4,381.0,339.0,340.0,-8.85,15419.0,5457168.0,-1,0.24257999999999996
2021-09-29,346.8,367.9,327.0,367.9,8.21,11910.0,4099476.0,1,0.21483
2021-09-30,375.2,382.0,355.0,361.0,-1.88,5798.0,2092955.0,-1,0.2972
2021-10-03,353.8,353.8,326.6,345.0,-4.43,6090.0,2057549.3,-1,-0.009150000000000002
2021-10-04,351.9,351.9,320.1,342.9,-0.61,6624.0,2187675.7,-1,0.02964
2021-10-05,349.7,350.0,339.0,343.5,0.17,5199.0,1773172.5,1,0.12938
2021-10-06,350.3,350.3,334.0,345.0,0.44,12267.0,4180547.8,1,0.05695
2021-10-10,351.9,358.0,330.0,342.0,-0.87,3339.0,1137919.0,-1,0.18243
2021-10-11,348.8,348.8,317.0,329.0,-3.8,4019.0,1318110.5,-1,0.23262999999999998
2021-10-17,335.5,355.9,326.9,345.0,4.86,2150.0,726270.0,1,0.29454444444444444
2021-10-18,351.9,351.9,310.5,310.5,-10.0,9813.0,3080454.9,-1,0.22508
2021-10-19,304.3,306.0,290.1,294.0,-5.31,5071.0,1503512.5,-1,0.3163444444444445
2021-10-20,299.0,315.0,294.0,311.9,6.09,4519.0,1386038.3,1,0.07219
2021-10-21,318.0,324.3,296.9,301.1,-3.46,4519.0,1376770.9,-1,0.21015999999999999
2021-10-24,305.0,310.9,293.0,304.8,1.23,4617.0,1391268.4,1,0.37437
2021-10-25,310.0,335.2,310.0,330.0,8.27,10872.0,3504722.0,1,0.18109
2021-10-26,336.6,363.0,336.0,363.0,10.0,17288.0,6139471.0,1,0.01603
2021-10-27,370.0,380.0,355.0,368.0,1.38,20375.0,7536986.1,1,0.08976
2021-10-28,361.0,397.0,348.0,390.1,6.01,16152.0,6010256.3,1,0.12233000000000001
2021-10-31,392.0,420.0,380.0,411.0,5.36,15512.0,6287663.0,1,0.05637000000000001
2021-11-01,411.0,419.0,390.0,390.2,-5.06,15092.0,6091708.0,-1,0.23737
2021-11-02,382.4,398.0,377.2,397.9,1.97,9725.0,3806821.9,1,0.30644
2021-11-03,400.0,410.0,388.0,388.0,-2.49,8877.0,3508107.8,-1,0.33709
2021-11-08,381.0,395.0,373.4,384.0,-1.03,9020.0,3452717.4,-1,0.38919
2021-11-09,384.0,384.0,357.7,359.0,-6.51,13158.0,4775270.8,-1,0.14973
2021-11-11,351.9,358.0,343.0,349.0,-2.79,5853.0,2046321.0,-1,0.1336
2021-11-14,350.0,357.0,341.0,341.2,-2.23,6147.0,2141189.9,-1,-0.04919000000000002
2021-11-15,348.0,369.1,348.0,367.0,7.56,5336.0,1940191.0,1,0.4535600000000001
2021-11-16,374.0,397.7,368.0,397.0,8.17,7780.0,2953455.5,1,0.22532999999999997
2021-11-17,400.0,420.0,396.0,397.0,0.0,15667.0,6350582.0,0,0.23708
2021-11-18,390.0,400.0,379.0,386.0,-2.77,11591.0,4488632.0,-1,0.24686
2021-11-21,386.0,393.7,378.8,379.0,-1.81,4800.0,1832293.0,-1,0.12471999999999998
2021-11-22,386.0,398.0,372.0,392.0,3.43,13493.0,5273741.3,1,0.1779375
2021-11-23,384.2,399.0,376.6,377.3,-3.75,7500.0,2876180.9,-1,0.12245999999999999
2021-11-24,376.0,398.4,364.0,390.4,3.47,11615.0,4465300.0,1,0.15948
2021-11-25,397.9,402.0,382.7,388.0,-0.61,7684.0,3006220.1,-1,-0.07104999999999999
2021-11-28,380.4,388.0,365.0,366.1,-5.64,14742.0,5512996.5,-1,0.15723
2021-11-29,359.0,380.0,359.0,365.0,-0.3,5668.0,2091617.3,-1,0.11888888888888888
2021-11-30,360.0,370.0,358.0,359.0,-1.64,4039.0,1468871.0,-1,0.07694000000000001
2021-12-01,366.1,380.7,357.0,367.0,2.23,4662.0,1722003.1,1,0.32481
2021-12-02,364.0,367.0,353.1,353.1,-3.79,3166.0,1137722.3,-1,0.14651
2021-12-05,346.2,355.0,332.0,334.0,-5.41,3268.0,1104422.1,-1,0.2995
2021-12-06,330.4,366.9,309.0,357.0,6.89,6400.0,2201841.0,1,0.06035999999999999
2021-12-07,364.1,384.0,348.0,364.0,1.96,14895.0,5425442.5,1,0.0472
2021-12-08,361.0,362.0,340.0,341.0,-6.32,3873.0,1333631.0,-1,0.20368
2021-12-09,334.2,341.7,323.1,327.3,-4.02,6922.0,2306381.5,-1,0.10616999999999999
2021-12-12,340.0,340.0,305.0,308.0,-5.9,6499.0,2012350.0,-1,0.028020000000000007
2021-12-13,302.0,302.0,282.3,289.0,-6.17,9050.0,2628766.7,-1,-0.05994000000000001
2021-12-14,294.0,316.9,294.0,314.0,8.65,2615.0,803803.0,1,0.14903
2021-12-15,320.0,345.0,309.0,322.0,2.55,9395.0,3132149.5,1,0.28089000000000003
2021-12-16,320.1,320.1,299.0,310.0,-3.73,3763.0,1161327.0,-1,0.21241000000000004
2021-12-20,310.0,316.0,296.0,304.0,-1.94,1911.0,580068.2,-1,0.20488
2021-12-21,305.0,334.2,300.0,317.0,4.28,3875.0,1199302.0,1,0.0061800000000000075
2021-12-22,315.0,341.0,315.0,341.0,7.57,9024.0,2968521.0,1,0.2529
2021-12-23,335.0,361.4,328.5,335.0,-1.76,11903.0,3993717.9,-1,0.22354
2021-12-26,340.0,341.0,325.0,329.0,-1.79,2862.0,946534.0,-1,0.33693999999999996
2021-12-27,325.1,330.0,302.0,302.0,-8.21,6087.0,1915577.0,-1,0.13351000000000002
2021-12-28,300.0,317.0,296.0,314.0,3.97,4002.0,1243441.5,1,0.07902
2021-12-29,314.0,320.0,305.0,316.5,0.8,2612.0,811924.5,1,-0.07497000000000001
2022-01-02,322.0,322.0,308.5,310.0,-2.05,2435.0,761206.6,-1,0.34904
2022-01-03,309.0,316.0,304.0,315.0,1.61,5931.0,1840797.0,1,0.37374
2022-01-04,309.0,320.0,308.0,315.0,0.0,3301.0,1030817.0,0,0.04494
2022-01-05,310.0,334.0,310.0,320.0,1.59,6434.0,2073866.8,1,0.33351
2022-01-06,313.6,337.9,313.6,325.0,1.56,5790.0,1870847.2,1,0.35937142857142856
2022-01-09,331.0,344.0,330.0,339.0,4.31,8803.0,2970301.9,1,0.26837
2022-01-10,345.0,365.0,334.0,350.0,3.24,19446.0,6818425.3,1,0.25122999999999995
2022-01-11,350.0,364.0,343.0,360.0,2.86,14424.0,5128369.8,1,0.08811
2022-01-12,355.0,376.0,350.1,350.8,-2.56,10352.0,3740567.0,-1,0.12423
2022-01-13,357.8,363.0,345.0,361.0,2.91,8449.0,3018867.4,1,0.24362000000000003
2022-01-16,354.0,389.6,347.0,378.0,4.71,326333.0,120751380.2,1,0.20054
2022-01-17,385.5,385.5,365.0,375.0,-0.79,105144.0,39125829.3,-1,0.24710000000000001
2022-01-18,375.0,380.0,362.8,369.0,-1.6,87786.0,32523909.0,-1,0.11389
